@RELATION Points

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE w NUMERIC
@ATTRIBUTE t NUMERIC

@DATA

11.99 , 6.14 , 4.93 , 3.81 , 5.47
9.86 , 7.82 , 1.28 , 5.04 , 9.76
7.58 , 0.84 , 9.26 , 11.00 , 3.19
10.30 , 8.13 , 1.24 , 5.33 , 9.82
4.86 , 9.10 , 10.95 , 10.05 , 11.96
11.81 , 5.56 , 5.19 , 4.20 , 5.33
8.02 , 4.02 , 7.87 , 7.10 , 9.03
7.84 , 4.32 , 8.10 , 6.74 , 8.48
6.91 , 1.13 , 8.78 , 10.71 , 2.84
5.21 , 8.92 , 10.67 , 10.09 , 11.84
11.92 , 6.16 , 4.80 , 4.46 , 4.91
11.93 , 6.16 , 4.81 , 3.81 , 5.02
0.81 , 2.08 , 2.87 , 1.25 , 6.85
6.75 , 1.16 , 8.89 , 10.97 , 2.68
11.92 , 6.04 , 4.80 , 4.36 , 4.95
10.36 , 8.02 , 1.13 , 4.84 , 10.05
7.11 , 1.18 , 9.02 , 10.60 , 3.12
7.07 , 1.00 , 8.94 , 11.28 , 2.89
12.07 , 5.91 , 5.12 , 4.19 , 4.94
12.36 , 6.53 , 5.63 , 3.99 , 4.94
11.88 , 5.98 , 5.33 , 4.32 , 4.97
7.10 , 1.10 , 9.08 , 11.43 , 3.15
11.95 , 6.17 , 4.75 , 4.04 , 5.28
12.16 , 5.58 , 5.23 , 4.16 , 4.93
11.92 , 6.08 , 5.01 , 3.88 , 5.02
5.24 , 8.83 , 10.87 , 9.96 , 11.79
11.90 , 6.19 , 4.64 , 4.20 , 4.90
11.79 , 6.16 , 4.97 , 4.19 , 4.69
7.07 , 1.29 , 9.07 , 10.93 , 2.97
11.86 , 6.00 , 5.12 , 4.36 , 4.89
12.10 , 5.86 , 4.94 , 4.34 , 5.02
11.99 , 5.69 , 5.05 , 3.93 , 4.73
10.14 , 7.94 , 1.00 , 5.18 , 10.05
12.19 , 5.79 , 4.78 , 4.08 , 5.09
12.07 , 6.16 , 5.02 , 4.07 , 4.76
9.88 , 8.19 , 0.87 , 4.83 , 10.06
12.20 , 5.97 , 4.75 , 3.96 , 5.17
5.01 , 9.26 , 10.76 , 9.76 , 12.15
9.71 , 8.15 , 1.44 , 4.88 , 9.84
11.56 , 5.97 , 4.87 , 3.70 , 4.69
0.79 , 1.70 , 2.83 , 1.01 , 6.94
5.30 , 8.80 , 10.74 , 10.13 , 12.14
7.04 , 1.04 , 9.24 , 10.86 , 2.83
1.06 , 1.68 , 2.61 , 0.92 , 6.86
11.95 , 6.20 , 4.97 , 3.66 , 4.83
11.95 , 5.91 , 4.97 , 3.96 , 4.50
7.00 , 1.10 , 9.26 , 10.93 , 3.17
12.18 , 6.54 , 5.42 , 4.06 , 5.01
6.81 , 1.13 , 8.81 , 11.16 , 3.15
12.00 , 6.07 , 4.87 , 4.07 , 5.04
9.90 , 7.98 , 0.89 , 4.57 , 10.43
6.86 , 1.02 , 8.91 , 10.82 , 3.09
5.13 , 8.83 , 11.15 , 10.45 , 12.19
5.12 , 9.08 , 10.81 , 10.02 , 12.11
5.18 , 8.68 , 11.10 , 9.81 , 12.06
11.98 , 5.90 , 4.64 , 4.00 , 5.00
11.64 , 5.89 , 4.72 , 3.87 , 4.88
4.90 , 8.97 , 10.89 , 9.95 , 11.99
5.10 , 8.89 , 10.97 , 10.04 , 11.85
11.91 , 5.80 , 4.91 , 3.86 , 4.97
5.34 , 8.82 , 10.79 , 9.83 , 11.83
6.66 , 1.00 , 8.46 , 11.10 , 2.93
5.34 , 8.81 , 11.08 , 10.11 , 12.05
11.88 , 5.80 , 5.11 , 4.12 , 5.00
4.57 , 9.13 , 10.66 , 10.14 , 11.88
12.25 , 5.87 , 5.07 , 3.84 , 4.73
0.89 , 2.01 , 2.94 , 1.30 , 7.49
12.06 , 6.00 , 5.03 , 3.83 , 5.11
11.86 , 5.86 , 4.67 , 3.89 , 4.90
10.62 , 8.02 , 1.01 , 4.97 , 9.76
4.81 , 9.20 , 11.14 , 9.88 , 11.90
12.35 , 5.93 , 5.10 , 4.30 , 5.07
0.99 , 1.88 , 3.04 , 0.76 , 7.06
7.13 , 0.82 , 9.24 , 11.02 , 2.86
11.82 , 5.68 , 4.75 , 3.89 , 4.77
11.95 , 6.01 , 5.19 , 4.32 , 4.81
7.79 , 1.16 , 8.98 , 10.70 , 2.82
8.26 , 4.09 , 7.99 , 7.10 , 9.34
12.03 , 6.26 , 4.97 , 4.06 , 5.11
4.95 , 8.90 , 10.72 , 10.27 , 11.99
7.03 , 0.94 , 8.93 , 11.01 , 2.61
9.59 , 7.84 , 0.91 , 5.00 , 9.80
11.92 , 5.82 , 5.14 , 3.82 , 4.99
11.77 , 5.69 , 4.94 , 4.15 , 5.37
11.92 , 6.32 , 4.99 , 3.89 , 5.20
6.82 , 1.16 , 8.84 , 11.11 , 3.18
11.81 , 6.26 , 4.83 , 4.15 , 4.98
12.06 , 6.06 , 5.00 , 3.62 , 4.72
6.90 , 0.73 , 8.98 , 10.68 , 3.38
7.18 , 0.69 , 9.01 , 10.95 , 3.01
1.38 , 2.06 , 2.99 , 1.30 , 7.11
6.70 , 0.84 , 9.22 , 10.98 , 2.87
1.04 , 2.00 , 3.31 , 0.99 , 6.98
11.94 , 6.20 , 5.15 , 3.78 , 4.86
7.59 , 3.85 , 8.26 , 6.92 , 8.74
4.62 , 8.77 , 11.19 , 9.85 , 11.51
7.11 , 1.32 , 8.78 , 10.75 , 3.06
10.00 , 8.24 , 1.08 , 4.90 , 10.25
7.02 , 0.99 , 9.35 , 11.09 , 2.88
7.12 , 1.02 , 8.82 , 11.06 , 3.31
4.96 , 9.09 , 10.87 , 10.27 , 11.80
5.58 , 9.10 , 11.26 , 9.91 , 12.40
0.80 , 2.22 , 2.95 , 0.87 , 7.07
12.17 , 6.11 , 5.23 , 3.99 , 5.19
11.82 , 5.97 , 4.80 , 4.07 , 5.09
7.20 , 0.73 , 8.79 , 10.91 , 3.21
12.26 , 5.83 , 5.02 , 3.71 , 5.39
