Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
15:23:42     1840       76        1    96.0%            4        125
15:23:43     1869        0        1   100.0%            4        125
15:23:44     1862        0        1   100.0%            4        125
15:23:45     1828        0        1   100.0%            4        125
15:23:46     1854        0       13   100.0%            4        125
15:23:47     1866        0        1   100.0%            4        125
15:23:48     1858        0        1   100.0%            4        125
15:23:49     1870        0        1   100.0%            4        125
15:23:50     1870        0        1   100.0%            4        125
15:23:51     1828        2        1    99.9%            4        125
15:23:52     1869        0        4   100.0%            4        125
15:23:53     1872        0        1   100.0%            4        125
15:23:54     1862        0        1   100.0%            4        125
15:23:55     1872        0        1   100.0%            4        125
15:23:56     1871        2        1    99.9%            4        125
15:23:57     1854        0        2   100.0%            4        125
15:23:58     1860        0        1   100.0%            4        125
15:23:59     1861        0        1   100.0%            4        125
15:24:00     1830        0        1   100.0%            4        125
15:24:01     1872        2        1    99.9%            4        125
15:24:02     1876        0        1   100.0%            4        125
15:24:03     1828        0        1   100.0%            4        125
15:24:04     1871        0        1   100.0%            4        125
15:24:06     1861        0        1   100.0%            4        125
15:24:07     1869        2        1    99.9%            4        125
15:24:08     1855        0        1   100.0%            4        125
15:24:09     1842        0        1   100.0%            4        125
15:24:10     1868        0        1   100.0%            4        125
15:24:11     1846        0        1   100.0%            4        125
15:24:12     1861        2        1    99.9%            4        125
15:24:13     1848        0        1   100.0%            4        125
15:24:14     -581     4504       17   -14.8%            5        141
15:24:15     8621     2229        5    79.5%            5        150
15:24:16     1874        0        1   100.0%            5        150
15:24:17     1856        2        1    99.9%            5        150
15:24:18     1853        0       11   100.0%            5        150
15:24:19     7233       20        1    99.7%            5        150
15:24:20     7223        0        1   100.0%            5        150
15:24:21     1868        0        1   100.0%            5        150
15:24:22     1853        2        1    99.9%            5        150
15:24:23     1873        0        1   100.0%            5        150
15:24:24     1845        0        1   100.0%            5        150
15:24:25     1869        0        1   100.0%            5        150
15:24:26     1872        0        1   100.0%            5        150
15:24:27     1873        2        1    99.9%            5        150
15:24:28     1856        0        1   100.0%            5        150
15:24:29     1862        0        1   100.0%            5        150
15:24:30     1870        0        1   100.0%            5        150
15:24:31     1858        0        1   100.0%            5        150
15:24:32     1859        2        1    99.9%            5        150
15:24:33     1862        0        1   100.0%            5        150
15:24:34     1853        0        1   100.0%            5        150
15:24:35     1846        0        1   100.0%            5        150
15:24:36     4092      399       21    91.1%            5        152
15:24:37     1867        2        1    99.9%            5        152
15:24:38     1906        0       11   100.0%            5        152
15:24:39     1862        0        1   100.0%            5        152
15:24:40     1860        0        1   100.0%            5        152
15:24:41     1861        0        1   100.0%            5        152
15:24:42     1853        2        1    99.9%            5        152
15:24:43     1861        0        1   100.0%            5        152
15:24:44     1862        0        1   100.0%            5        152
15:24:45     1842        0        1   100.0%            5        152
15:24:46     1844        0        1   100.0%            5        152
15:24:47     1873        2        1    99.9%            5        152
15:24:48     1862        0        3   100.0%            5        152
15:24:49     1859        0        1   100.0%            5        152
15:24:50     1831        0        1   100.0%            5        152
15:24:51     1859        0        1   100.0%            5        152
15:24:52     1860        2        1    99.9%            5        152
15:24:53     1860        0        1   100.0%            5        152
15:24:54     1847        0        1   100.0%            5        152
15:24:55     1869        0        1   100.0%            5        152
15:24:56     1869        0        1   100.0%            5        152
15:24:57     1871        2        1    99.9%            5        152
15:24:58     1830        0        1   100.0%            5        152
15:24:59     1858        0        1   100.0%            5        152
15:25:00     1878        0        1   100.0%            5        152
15:25:01     1861        0        1   100.0%            5        152
15:25:02     1858        2        1    99.9%            5        152
15:25:03     1877        0        1   100.0%            5        152
15:25:04     1877        0        1   100.0%            5        152
15:25:05     1869        0        1   100.0%            5        152
15:25:06     1877        0        1   100.0%            5        152
15:25:07     1861        2        1    99.9%            5        152
15:25:08     1870        0        1   100.0%            5        152
15:25:09     1850        0        3   100.0%            5        152
15:25:10     1872        0        1   100.0%            5        152
15:25:11     1842        0        1   100.0%            5        152
15:25:12     1843        2        1    99.9%            5        152
15:25:13     1840        0        4   100.0%            5        152
15:25:14     1859        0        1   100.0%            5        152
15:25:15     1847        0        1   100.0%            5        152
15:25:16     1872        0        1   100.0%            5        152
15:25:17     1867        2        1    99.9%            5        152
15:25:18     1832        0        1   100.0%            5        152
15:25:19     1847        0        1   100.0%            5        152
15:25:20     1842        0        1   100.0%            5        152
15:25:21     1870        0        1   100.0%            5        152
15:25:22     2218      155    18530    93.5%            5        216
15:25:23     2086        0    40977   100.0%            5        317
15:25:24     2100        0    47635   100.0%            5        430
15:25:25     2101        0    47494   100.0%            5        542
15:25:26     2125        0    47402   100.0%            5        654
15:25:27     2113        2    47617    99.9%            5        767
15:25:28     2100        0    44904   100.0%            5        873
15:25:29     2122        0    47563   100.0%            5        985
15:25:31     2125        0    47433   100.0%            5       1096
15:25:32     2110        0    45364   100.0%            5       1202
15:25:33     2108        2    46359    99.9%            5       1311
15:25:34     2096        0    44288   100.0%            5       1417
15:25:35     2106        0    45619   100.0%            5       1524
15:25:36     2112        0    47745   100.0%            5       1636
15:25:37     2196        0    47304   100.0%            5       1748
15:25:38     2189        0    45585   100.0%            5       1856
15:25:39     2132        0    29079   100.0%            5       1958
15:25:40     2344        3    44720    99.9%            5       2063
15:25:41     2237        3    45495    99.9%            5       2171
15:25:42     2185        8    27294    99.6%            5       2269
15:25:43     2258        4    31340    99.8%            5       2379
15:25:44     2270        6    32456    99.7%            5       2493
15:25:45     2249        2    32017    99.9%            5       2605
15:25:46     2277        3    32405    99.9%            5       2718
15:25:47     2289        5    31873    99.8%            5       2828
